userName,score,at,content
Muhammad Fauzan Rafi,1,2022-11-07 00:07:23,"Aplikasi sampah, bener- bener mempersulit orang ajaa. Mau lihat sertifikat aja ngak bisa sama sekali..."
Pauji Zizi,1,2022-11-06 22:52:26,"Gak bisa masuk aplikasi ketika jaringan kurang bagus,.."
Dio,1,2022-11-06 17:57:57,"Ini bagian IT kemana sih bikin apk ga bener, login daftar disuruh isi kolom..udah berulang kali di check bener, masih aja gabisa daftar..dosa lu bikin orang marah"
Teguh Santoso,1,2022-11-06 17:14:34,Aplikasi kurang bagus mau isi profil selalu ada catatan sesuai kan nama dgn ktp pdhal sdh...aplikasi apa ini
Indah Azhari,1,2022-11-06 16:12:07,Berkali-kali kali masukin nmr nik ktp dan nmr hp . Tp gak bisa juga masuk kembali . Pusing ihhhh
Cadangan Akun,1,2022-11-06 13:42:40,"Pusing, berkali-kali mencoba bikin akun baru di sini gagal terus , di bilang nik tidak sesuai padahal memang itu nomor nik nya, trus dicoba lg di bilangnya sudah di kirim 3x notifikasi OTP -nya, padahal gak ada 1 pun notifikasi OTP yg masuk ke no hp . Jd ini gimana?"
Hj tawasa Nirma,5,2022-11-06 06:59:37,"Aplikasi lagi eror atau gimana? Kok saya ga bisa daftar padahal sudah masukin nama sama NIK sesuai dengan kartu vaksin, tapi kok muncul tulisan ""mohon isi nama dan NIK, sesuai KTP anda"", saya coba berulang kali tetapi ngak bisa... Solusi dong min ini penting banget soalnya mau umroh"
Rizki Apriadi,1,2022-11-06 00:43:13,"Apaan ini aplikasi masa saya daftar nama sama nik sudah sesuai ktp tapi masih tidak bisa, di aplikasi ini saya tidak diakui sebagai warga negara!!"
Satria Arya Yuhda Pangestu,1,2022-11-05 22:07:39,Tidak berguna... Saya sudahh vaksin . Tapi sertifikat tidak muncul....... Sudah tanya ke puskesmas.. katanya harus tanya ke Cs aplikasi.. setelah complain tapi tidak ada kemajuan.... Menyusahkan saja...
Marcela Sela,1,2022-11-05 18:22:12,"Aplikasi apaan kaya gini gk jelas, gk bisa muncul sertifikat malah blank putih doang, gk usah di download bilang2 kuota"
Booy Wahyu,5,2022-11-05 17:08:48,"Sangat bagus, hanya saja kenapa pas yg mau daftar akun ga bisa bisa???"
Hana Lutfiyah,1,2022-11-05 16:24:54,"Mau daftar juga gak bisa gimana sih,,padahal nama udah sesuai dengan ktp"
Herry Ramdani,2,2022-11-05 15:46:44,"Ini gimana ya adik saya mau daftar akun peduli lindungi, tpi malah terus aja gabisa, keluar tulisan ""sesuaikan nik dan nama"" padahal udah bener dan berkali kali dicoba tetep gabisa"
Yongki Agustin,1,2022-11-05 15:35:48,"Klaim sertifikat ko harus input jenis vaksin sama tanggalnya, mana ada org yg inget coba, aneh validasinya _-"
silvia Oi,2,2022-11-05 13:03:16,Sekarang saya mau update penilaian saya Saya kecewa biasanya bisa melihat/download sertivikat vaksin sekarang malah layar putih Semua menu dibuka layar putih Peduli lindungi masih ada gak sih?
Boniio Bonijo,1,2022-11-05 03:11:56,"Masa daftar nik sama nama udah sama nggak bisa daftar, sepertinya harus di perbaiki lagi aplikasinya, nama dari lahir kok gak bisa buat daftar, ente kadang-kadang ente"
Ahmad Wahyudin,1,2022-11-05 01:49:14,Saya ada kendala tiket vaksin DO tapi tidak bisa diperbaiki. Sangat buruk pelayanannya
Psatir,1,2022-11-05 01:15:40,"Hdeh buat apaan nih apk nya masa gk bisa login,pdhal nomor&email udh betul semua malah tulisanya merah²,niat bikin apk gk?,klo gt klo mau liat sertifikasi vaksin gk ush lagi pakai apk,apk nya aj bug pemiliknya nya aj males memperbaikinya anehhh"
Bunda Zalfa Nafisah,1,2022-11-05 01:01:17,"Update: katanya registrasi hanya jam 6-20. Ini bukan masalah registrasinya, data saya sdh ada, hanya setiap mau login aplikasi dibilangnya user not found. --- Udah berkali2 mau coba masuk ga bisa. Notifikasinya user not found. Repot banget deh.. waktu coba masukin data lagi di daftar baru juga ga bisa, katanya nama dan nik tdk sesuai. Lah gimana ini.. bintang 1 dulu, kalo bisa normal lagi baru bintang 5"
hendra yudha,2,2022-11-05 00:26:22,"Aplikasi semakin sulit digunakan,selalu tidak bisa Log in akun lagi alasannya server tdk ditemukan,..server tidak ditemukan tapi didaftar ulang NIK KTP tertera di layar sdh terdaftar gimana dong solusi nya"
Chantikajahan Syahrafina,1,2022-11-04 20:09:48,"Sudah vaksin tapi data belum masuk, tidak ada opsi untuk memasukkan data, yang ada hanya langkah-langkah melihat sertifikat vaksin, payah"
Fandi Achmad,1,2022-11-04 18:02:55,Udah booster tapi g nongol2 sertifikatnya sebelum update masih ada giliran di update malah hilang
FUN48 tv,1,2022-11-04 16:46:39,"mau daftar,padahal nik & nama, sudah sesuai ktp, malah gagal terus"
Francky Simon,5,2022-11-04 08:57:07,"Aplikasi Peduli lindungi ini SDH baik...bagusnya lagi bila ditambahkan info tentang rumah sakit terdekat dan dokter praktek yg terdekat serta yg melayani BPJS.sehingga bagi pengguna aplikasi dpt dengan mudah mendapat info2 tersebut jika berada di suatu tempat yang dikunjungi,jd tdk saja dimana dia berdomisili info itu didapat....terima kasih,sukses selalu."
Ade Rani,2,2022-11-04 03:54:19,"Ntah gmna maksdnya, mau login gak bisa. Keterangannya salah isi kolom. Padahal sudah dicek berulang kali sudah benar. Tp tetap gagal masuk. Dan mencoba untuk daftar, NIK sudah terdaftar. Giliran lngsung login tetep gak bisa"
Achmad Tatwam,5,2022-11-03 23:41:13,"Saya sudah vaksin 3 kali: Sinovac-Sinovac-AZ, tapi yg ke-2 gak kecatat di PeduliLindungi. Gak tau kenapa. Skrg malah gak kecatat semua. Mohon solusinya."
Rizki Teguh,1,2022-11-03 14:51:45,"Ini cara ndaftar nya gimnaa sih , padahal NIK sma Nama sudah sesuai tpi ko tulisan nya msh sama sesuaikan nama dengan nik , padahal udh di ulang berapa kali dan itu benar² saya sudah teliti msh sama aja kaya gitu Gimana cara nadaftar nyaaa ???"
Boy Candara,5,2022-11-03 11:00:25,Tolong lah aplikasinya di perbaiki lagi. Saya sudah daftar vaksin ln. Dos pertama sudah di setujui. Dos kedua sudah 2 Minggu Belum di setujui. Padahal saya mau pulang ke Indonesia
MUH FAKHRUDIN SURYANA,4,2022-11-03 09:56:12,"Semula takut, karena comorbit, punya riwayat penyakit jantung. Tapi setelah mendapat rekomendasi dokter spesialis jantung, akhirnya berani, bahkan nyaman dan aman serta menyenangkan. Bahkan vaksin dan booster lebih membahagiakan, sehat walafiat, dapat bekerja optimal. Kalau masih ada booster kedua, siap."
Wahyu Aji Pangestu,3,2022-11-03 06:46:31,"Tolong bagaimana caranya bisa liat sertifikat vaksin tapi nomor hpnya yang tercantum sudah hilang tidak bisa login, mohon solusinya🙏🙏🙏"
Jejak Siagus,1,2022-11-03 02:30:12,"Aplikasi di buka lambat (lemot) Mau ganti nomor hp tapi tidak mendapatkan otp ,adoi...."
Yogi Satrio Wibowo,2,2022-11-03 01:33:00,"Halo admin, Pagi ini saya check sertifikat vaksin (pake hape siomay note 9) hanya bisa muncul layar putih saja. Aplikasi sudah update terbaru, sudah clear chache, hapus aplikasi dan install ulang. Mohon petunjuk. Terima kasih"
Renno Offical,1,2022-11-02 22:15:40,"Udah install aplikasi ini, niatnya mau cek sertifikat vaksin nya, diarahkan untuk log in, tapi belum punya akun, jadi daftar dulu, setiap kali daftar selalu aja ga bisa Gimana caranya mau cek sertifikat vaksin nya ini?"
Ahmad Hakim,1,2022-11-02 21:35:56,Maaf sebelum nya ko aplikasinya gk bisa di buka apa lagi buat cek sertifikat paksin nya saya udah berulang kali coba tapi masih gak bisa juga
Btr Ernest,1,2022-11-02 15:29:11,Aplikasi bobrok no hp hilang blm juga ada tindakan karna gagal login code verifikasi di kirim k nomor lama Sudah buat pengaduan melalui no wa dan email menteri kesehatan ga ada solusinya Payah
Adwi Sukrisno,3,2022-11-02 06:55:03,"Aplikasi ini kurang praktis, untuk cek bahwa anda bukan robot butuh hal yg bertele tele... Gitu juganuntuk.melihat atau ambil sertifikat vaksin anak2... pastilah untuk org pelosok indonesia yg gaptek, untuk ambil sertifikat saja akan bikin stress. Butuh aplikasi yg sederhana yg org kampung aja bisa"
Faiz Khoirurrizki,1,2022-11-02 03:47:12,Maaf. Waktu mau daftar Nama dan NIK nya sudah ku tulis sama dngan KTP. tapi tetep gak bisa cek sertifikatnya
Naufal Irfansyah,2,2022-11-02 03:40:44,"Banyak bug di samsung m32,saya mau buka sertifikat vaksin ngga bisa ,udah coba"" ganti koneksi internet sama aja *Reply Sudah saya coba clear cache, hapus data,log out, hapus install aplikasi Tapi sama saja"
Eko Purwanto,1,2022-11-02 02:03:09,"Update sekarang tidak adanya fitur faskes terdekat yang masih menyediakan vaksin. Pdahal mau vaksin, jd sulit."
Fajar Budianto,1,2022-11-02 01:05:06,"Kenapa saya tidak bisa login ke aplikasi peduli lindungi ini, padahal nomor hp sama email udah sesuai"
Anis Zakiah,1,2022-11-02 01:04:09,"Maaf, setelah hapus cache & data saya tidak bisa login kembali, malah saat mau login lagi ""Pengguna tidak terdaftar"". Padahal itu penting buat di tempat kerja saya, solusi?"
Muh Najib,1,2022-11-01 22:57:10,"Aplikasi gak berguna, sudah klaim sertifikat tapi tidak muncul, pengen banget uninstal tapi butuh hadeh. Ribet"
SI BERUANG,2,2022-11-01 22:24:42,"Nomor HP saya sudah tidak bisa di pakai lagi sudah hangus, jadi gak bisa login karena kode verifikasi di kirim melalui SMS, apakah tidak ada cara lain? Saya mau login gak bisa karna nomor sudah tidak aktif bagaimana caranya login min?"
Mudianto,5,2022-11-01 18:34:53,"App sangat membantu kususnya masalah convid 19 dan informasi kesehatan, terima kasih."
Essa Putri Hardianti,1,2022-11-01 14:43:21,Kenapa saya tidak bisa log in ke app ini...mo daftar ulang pun ngg bisa. Gmna cara ngcek sertifikat vaksinnya klo begini😭😭😭
Shandy Pratama,5,2022-11-01 12:43:42,"setiap buka kedua kali selalu force close entah kenapa, malah jadi hapus data melulu setiap habis buka aplikasi,,,, pihak dev ada solusi gak ya?"
Putri Wulan Sari,1,2022-11-01 10:03:46,Susah sekali mau download sertifikat vaksin. Wa ke wa yang terhubung ke BOT Kemenkes juga sama saja. Masih butuh banyak perbaikan.
rijal udin,1,2022-11-01 08:57:55,"semenjak ganti nomor baru saya tidak bisa login ke aplikasi ini, padahal saya sudah membuat laporan dan mengirim bukti dokumen yg diminta."
Budi Mulya,1,2022-11-01 08:04:19,Gak bisa login.... WA customer service cek secara bertahap terus jawabannya.... Tlp 119 ext. 9 disuru WA.... Sudah sebulan gak bisa login...
Bakol Kokos123,1,2022-11-01 06:34:29,"Stuk di awal, nggk bisa masuk loading terus, website nya juga terlalu lemot untuk di akses"
Akbar Risky Putra Ramadhan,4,2022-11-01 04:59:59,Sertifikat vaksin booster saya kok tidak muncul di pedulilindungi ya padalah nik sama nomer sudah benar ini masalahnya sertifbooster tidak muncul dan status vaksin booster saya tidak terdeteksi
Nia Triastuti,2,2022-10-31 23:38:49,"Saya gabisa log in lagi setelah ganti hp. Katanya nomor saya dan email saya tidak terdaftar . Saat saya akhirnya coba daftar, katanya nik dan nama saya tidak sesuai padahal sudah sama persis. 3 saya coba daftar, katanya saya sudah 3 kali minta kirim nomor verifikasi . Jadi saya kemana-mana susah Masalahnya , semua kontak saya keterangannya user not found. Saya coba untuk log in pakai akun orang lain, bisa kok. Jadi bukan karena belum jam 6 sih."
Susiono galipat,1,2022-10-31 22:08:02,"Saya merasa kecewa karena setelah di update gambar jadi putih serta tambah lelet, mohon untuk di tingkatkan lagi"
ff.izz_ 08,1,2022-10-31 15:15:38,"Aplikasinya lagi eror atau gimana? Kok saya gak bisa daftar padahal sudah masukin nama sama NIK sesuai dengan kartu vaksin, tapi kok muncul tulisan ""mohon isi nama dan NIK, sesuai KTP anda"" , saya coba berulang kali tetep ga bisa.... Solusi dong min ini penting banget soalnya buat check in"
Yoga Solihat,1,2022-10-31 10:39:36,Padahal butuh banget aplikasi ini tapi setelah di update malah gak bisa di buka giliran di buka cuman putih aja gak ada apa apanya
fachrul rozi,2,2022-10-31 06:52:28,"Saya udah vaksin bosster tapi di aplikasi gabisa muncul pas mau cek sertifikat nya malah full hitam pas mau cek sertifikat nya, tolong dong sistemnya bagusin lagi"
anggelia sugiharti,1,2022-10-31 04:16:14,Aplikasinya jelek banget... Kmren abis restart HP masa data di aplikasi langsung ngak ada... Udah vaksin 3x ini di aplikasi kosong.. Gimana sih ini aplikasi ngak jelas banget...
Ipin Upin,1,2022-10-31 01:45:20,"Aduh,bikin pusing,padahal no NIK sudah betul tapi kenapa muncul tulisan merah 'sesuaikan no nik dengan ktp"" ketika lanjutkan."
ipani ipoy,5,2022-10-31 00:27:56,"Hp saya kan ilang, dan data nya ada dihp yang ilang pas masuk ke hp yang baru not found, masukan nomber yang dulu kan hp nya sama kartunya ilang Bagaimana solusinya tolong dibantu saya butuh banget buat absen kerja🙏🏻 Terima kasih.."
Asmaul Husna,1,2022-10-30 21:27:49,"Uda dari tahun lalu sya download, tapi sampai sekarang gk pernah bisa di buka, ud uninstall berkali2, ttp gk bsa, mohon dibantu donk diwajibkan, tp susah kbuka. Tolong donk sekelas punya kementerian. Thank's"
Kartika Puspitasari,1,2022-10-30 13:53:25,"Ini gimana sih, mau daftar tapi nama dan nik tidak sesuai KTP. Tolong dong ini bagaimana soslusinya? Saya mau pakai cepat, tapi surat vaksin saya hilang, pedulilindungi tidak bisa daftar."
Tulus Puji,4,2022-10-30 13:16:15,"aplikasinya ga bisa d buka min,,, pas mau scan barcode malah ga bisa padahal uda di update... gimana tuh??"
Denggan Marito Harahap,2,2022-10-30 11:40:09,Mohon beri petunjuk nya. Kode verifikasi nya tidak ada terkirim ke WhatsApp ataupun SMS. Sudah di coba segala cara tidak bisa. Bagaimana mau menggunakan aplikasinya sedangkan kode verifikasi nya tidak di kirim
Awenk Exca,1,2022-10-30 08:39:06,"Aplikasinya tidak berjalan, sangat merugikan, disaat mau chek sertifikat dan lainnya"
Dedy Natasubrata,1,2022-10-30 06:36:30,Setelah di update malah nggak bisa dibuka... Gimana mau dipakai buat scan...
Marjhun Ganna,3,2022-10-29 10:08:04,"Untuk admin... Tlong di bnahi dlu aplikasinya, sya baru hbis vaksin, datanya su di masukkn smua dgn bnar tpi ko tdk terbaca sertifikatnya ini sbnarnya mslanya apa, mhon di benahi dlu, biar pngguna mrasa nyaman...."
Tricahyo Afiyudin,1,2022-10-29 05:35:42,"No baru sudah terdaftar tp kok tetep tidak bisa login.""user not found"""
Pahala Bima,2,2022-10-29 01:08:41,"kenapa saya selalu tidak bisa buka aplikasi (stuck di loading screen awal) , padahal kartu provider saya Telkomsel, jaringan bagus, aplikasi sudah update, GPS nyala, sudah coba re-install jg sama aja. ini terjadi 1 minggu belakangan. mohon solusinya."
Eyy Boss,5,2022-10-28 21:28:50,tolong lah nih aplikasi diperbaiki sistemnya lemot banget kek orang pmo mau claim sertifikat vaksin aja susah bgt padahal data sudah sesuai.
Miftahurrozaq,1,2022-10-28 14:21:35,"Kok fitur-fitur yang ada tidak bisa dibuka? Tampilan yang muncul hanya halaman blank putih. Saya kira HP saya yang eror, tapi walaupun sudah restart, cara mode pesawat, maupun pake wifi hasilnya ternyata sama saja padahal kecepatan jaringan sudah Mb"
elisa husna,1,2022-10-28 13:41:59,"ini gimana yaa min saya sudah cobaa beberapa kali tp nama & nik tidak sesuai,, saya hapus saya download lagi, pakai hape yg lain tp keterangannya masih seperti itu,, padahal untuk penulisan sudah sama nik d ktp dengan nama saya ,, saya harus bagaimana min, susah sekali saya buka sertifikatnya 😒😒"
Mu chlis,1,2022-10-28 13:23:45,Aplikasi yg dulu sdh bagus Skg d update kok malah tambahkan anggota kelurga g bisa Nik tidak sesuai dan mau download kartu vaksin jg g bisa..
linda wati,1,2022-10-28 12:47:41,"Sertifikat vaksin saya tidak muncul, jika di klik menu sertifikat vaksin hanya blank putih saja. Sangat amat parah aplikasi pemerintah kok begini seharusnya aplikasi pemerintah lebih bisa maksimal. Terima kasih"
Ridwan Setiawan,3,2022-10-28 07:00:41,"Masuk ke aplikasi nya lama banget!! Udah pake data,wifi tetep aja lama Mohon untuk di perbaharui"
nurza detrisman,1,2022-10-28 03:30:53,"Makin ngak jelas aplikasinya, setelah di perbaharui di buka layanrya cuma putih ja.. Tolong di perbaiki aplikasinya"
Muhammad Arviantara Nagradaputra,1,2022-10-28 02:59:00,"Per hari ini 28/10/2022 aplikasinya suka lemot dibuka, padahal spek HP mumpuni, sinyal bagus, lama bgt kebuka nya mau scan doang padahal, tolong perbaiki bug nya atuh"
Alamsyah Pratama,2,2022-10-28 00:08:34,"Tolong apl di tingkatkan lagi supaya lebih mudah, masih suka lama untuk login, saya harus apus apl dulu dan download lagi untuk login saja"
Ilyatul Umniyah,1,2022-10-27 23:22:34,"Aplikasi susah dibuka. Hanya tampil layar putih. Sudah hapus chache, sampai instal ulang tetap sama. Padahal jaringan bagus. Tolong diperbaiki."
Edwyn Prasetia,1,2022-10-27 14:58:01,"Aplikasi tidak berfungsi, harusnya ya klo memang buat aplikasi itu bisa digunakan masa cek sertifikat vaksin aja gak muncul 👎👎👎 klo cek mau vaksin malah muncul dan klo klik lain"" muncul sedangkan klik sertifikat vaksin gak muncul jadi ya percuma klo punya aplikasi tapi gak guna👎👎👎👎👎"
chairul aziz,1,2022-10-27 11:37:35,Masuk ke email ga bisa no tlpn ga bisa..padahal Uda pernah daftar n Uda ada sertifikat vaksin ke 2..tetap aja notif nya belum terdaftar
abdul sumatek,1,2022-10-27 11:29:58,Sertifikat vaksin nya malah hilang/gak muncul setelah di update... tolong diperbaiki lagi dong
Fella Aviani,1,2022-10-27 10:53:54,"Kenapa makin lama makin buruk 😖 tolong di perbaiki, SAYA ketika buka aplikasi ini trs ad tulisan ""Kesalahan tidak di ketahui, coba lgi"" tolong Di perbaiki lebih baik lagi 😙"
Putra jaya Purnama,1,2022-10-27 09:25:12,"Kecewa banget, saya mau login tapi nomor saya sudah tidak aktif, udah hubungin cs nya udah di ganti sama nomor yang baru katanya tunggu 1x24jam baru bisa login udah saya tunggu tapi tetep aja gabisa kecewa banget"
محمد أوسكار,1,2022-10-27 08:46:05,"Aplikasinya ribet. Disuruh pasang Aplikasi PeduliLindung, setelah berhasil, untuk cek status, Ribet.!!!! Sekarang diarahkan ke Site-nya pedulilindung.co.id Terus gunanya aplikasi PeduliLindung apa? MERIBETKAN !!! Gak sesuai Janji dan Komitmen awal....!!!"
Hening Games,1,2022-10-27 07:52:11,Aplikasi ecek2 gw klo mau buka selalu error mending gk usah d adakan aplikasi ky gini buang2 waktu gw aja klo mau masuk ke mall jadi lambat
Arvan Anur,4,2022-10-27 05:37:11,"Sudah bagus, akan tetapi sering lelet loading lama bgt padahal mau bukak doang, mohon diperbaiki untuk lebih bagus lagi"
Yadi Pratama,4,2022-10-27 02:52:36,Kenapa setelah di update ke versi terbaru di pedulilindungi tidak muncul eHAC..
Mukordian Ilham,2,2022-10-27 02:40:52,"Tolong diperbaiki untuk memasukkan tanggal lahir, lebih baik kita mengetik sendiri daripada mencari kayak gitu TERLALU LAMA!!"
Shinta Wardani,1,2022-10-27 02:04:20,Saya mau log in pake no HP ga bisa pake email pun ga bisa padahal saya sudah daftar dan sudah vaksin. Aplikasi nya makin kesini makin buruk
ie-be chanelTV,1,2022-10-26 18:03:43,suka eror ini aplikasi prah banget msa buat cek sertifikat vaksin ngak bisa lalu blank layar putih aja ... pengembang aplikasi tolong di perbaiki lah
puspita nia,1,2022-10-26 16:56:08,"Ini bagaimana, baru mau daftar kluar notif merah, NIk dan nama tidak sama , padahal sudah sesuai ktp , gimana ini sudah complain ke wa kementrian juga belum ada hasil , bintang 1 dlu lah"
Bang oby,1,2022-10-26 15:26:26,"Iya setiap mau daftar selalu nik sama nama gak sesuai, bingung mau masukin gimana biar sesuai Berulang ulang di coba gitu gitu aja"
adi darmana,1,2022-10-26 13:09:09,"Cek sertifikat blank doang, cek via web harus ada tanggal vaksin sudah lupa, cek bot wa juga g keluar sertifikatnya gangguan tp di ulang-ulang jg ga bisa :("
Pandita Ahmad,2,2022-10-26 08:31:42,"Kenapa ya pas login kok keluar user not found , padahal udah udah ada akun nya ,cara nya gimana ya biar bisa login lagi"
Nur Aira,1,2022-10-26 06:18:03,Sampah banget aplikasinya sumpah dah gilaaaa buat masuk aja ga lama banget ga bisa bisa. Pas sudah masuk untuk membuka fitur yang ada di dalam aplikasi gilaaaaaa putih mulu layarnyaa gokill ini. Hadeh kerjanya ngapain sih
Lintang Aditama,1,2022-10-25 15:41:34,Makin engak jelas aja ini aplikasi Di upgrade masih pake daftar ulang. Pake nomor telpon tertulis nomor sudah terdaftar. Pake email. Tertulis email sudah terdaftar. Tp knpa GABISA DI AKSES???????????
JoHn Channel Music,1,2022-10-25 12:55:21,"Ini kenapa mau login malah muncul tulisan ""user not found"". Bisa tolong dibantu karena saya sangat butuh sertifikatnya untuk keperluan"
Anggi Alvia,1,2022-10-25 08:58:40,Status vaksinasi & sertifikat vaksin tidak muncul ! Hanya layar putih.... aplikasi sangattttt mengecewakan!!!
Aniar H. Muda Arsyad,5,2022-10-25 02:25:38,Udah sempat uninstall dari lama krna aplikasinya lambat trus gak bisa download kartu vaksinya tapi bru install lagi sekarang ehh udah bisa. Kerenn makasih untuk selalu menerima kritikan tentang aplikasi ini dan memperbaiki apa kesalahan dari aplikasinya. Semangat minn
Fahmi Agusman,1,2022-10-25 02:24:40,"Kasian sih, sekelas aplikasi punya kementrian dengan anggaran besar cuma bisa kayak gini, loading screen sangat lama, dan kadang cuma loading screen saja, saya kira HP saya yang bermasalah, saya coba dibeberapa HP saudara-saudara saya, sama saja, sudah update pun, tetap begitu, sangat mengecewakan pengguna."
Satria Pratama Sinurat,1,2022-10-24 14:57:32,Aduh gimana sich kok susah banget mau daftar vaksin di aplikasi peduli lindungi... Padahal saya mau masuk daftar dalam aplikasi ini.... Mohon di permudah caranya yach.
Naomi Ekklesia ngasri,5,2022-10-24 11:56:46,Saya sudah menggunakan peduli lindungi dan sangat bagus dan teratur jika kita akan bepergian kemanapun dan aman serta nyaman
Widi Sweezs,1,2022-10-24 07:53:37,Hp saya hilang. nomer dan email tidak bisa di pulihkan. dan akun saya disini juga akhirnya tidak bisa dibuka sama sekali. dan ini menghalangi saya untuk beraktifitas karna beberapa tempat wajib scan barcode
Regi ReAL,3,2022-10-24 06:41:54,Mau daftar tapi disuruh sesuaikan nama dan NIK...padahal sudah diketik dengan benar...trus gimana dong...mohon bantuannya...
nayla vania,2,2022-10-24 05:34:54,saya mencoba daftar di pedulilindungi tetapi kenapa masih tidak bisa ya dibilang sesuaikan dengan KTP sudah disesuaikan tapi kenapa masih tidak bisa tolong bantuannya?
Efa Apriliani,2,2022-10-24 05:10:29,Sudah vaksin booster bulan febuari tapi sampai sekarang sertifikat belum muncul juga sudah pakai berbagai cara tp tetap saja tidak muncul..
Ibnu Kamal Hanifah,1,2022-10-24 02:40:03,"Aplikasi ga guna!!! Sertifikat saya ga bisa muncul, pada saat mau klaim sertifikat baru satu kali salah langsung ga bisa dan di suruh kembali lagi besok!!! Ga guna!"
Wawann Setiawann,1,2022-10-23 15:01:36,"Aplikasi apalah ini masa daftar nik nama udah sama, tetep gabisa , dibilang isi sesuai ktp, lah itu udah di isi sesuai dengan ktp tetep gabisa, dan satu lagi masalah tanggal, tolong diketik aja biar mudah ga ribet cari cari bulan dan tanggal lahir"
muee muee,2,2022-10-23 11:32:22,"Aku udah coba buat akun lebih 15x tetap ngk bisa, keterangannya nama dan NIK ku tdk sesuai, trus aku konfir d tempat aku vaksin kata nakesnya data aku udah sesuai, tpi kenapa di aplikasi tidak sesuai??? Hadehhhh"
Dela Agustin,3,2022-10-23 08:28:17,Harus di update mulu aplikasi nya baru bisa dibuka udh gitu gak bisa buka offline
andreasws,1,2022-10-23 05:49:41,Aplikasi buat semua se Nasional Indonesia Raya tp error terus tdk ada perbaikan gmn sih..sdh siap blm sih sdh jng maksa klo blm siap jng dipake trs..cmn siap ok² pak aj..ampun dah tdk pernah berubah..😖asal bpk senang aj Sampe skrg sertifikat vaksin saya sdh 3x vaksin jg tdk muncul ok gak pa² Terimakasih🙏👍
Lina Retnowati,5,2022-10-23 01:25:24,"Sudah bagus, cuma bagaimna cara mau mengecek imunisasi anak ? Qo koneksi terputus terus, padahal ada kuota nya Mohon penjelasan nya min, terima kasih 🙏🙏"
isti anto,3,2022-10-23 00:36:14,"Kenapa setiap mau isi profil,selalu gagal,selalu muncul sesuaikan nama dan nik dengan KTP,padahal saya nulis nama dan nik benar"
Gugun Gunawan,1,2022-10-22 09:38:05,Ini saya mau login kok gak bisa ya?apa harus dan wajib menggunakan nomor paspor juga?tapi sedangkan saya tidak memiliki nomor paspor🤦‍♀️gimana iniiii????
Maya Anggita Savacka,1,2022-10-22 04:02:18,"Kasih bintang nol kalo bisa, masa mau daftar gak bisa alasannya nomer ktp dan nama gak sama, uda di cek berkali kali tetep aja gak bisa, ini aplikasi sebenernya ngeganggu dan gak guna"
Jimmy Clavindo,1,2022-10-22 02:42:45,"Tolong sertifikat vaksin saya tidak bisa dilihat dan hanya menampilkan tampilan putih saja, tolong ya diperbaiki dan maintenance lagi sistemnya."
zaki apriyadi,1,2022-10-22 01:15:34,"Aplikasi tak bergune, pas saat mau liat sertifikat vaksin tdk bise ke buka malah layar putih Jak. Taik"
Daniel 1997,1,2022-10-21 22:37:05,"Baru tahu tahun 2022 udah mau 2023 masih ada apk nyusahin orang, ngetik tanggal lahir manual? Harus nyecroll terus sampe pegel tangan, enak yang lahirnya tahun 2000 an, yang 90,80 an ? Buang buang waktu!"
Kebyok 32,1,2022-10-21 16:20:50,"Kenapa daftarnya sulit, ini sistimnya yg eror atau gimana see?? Dibagian nama dan NIK sudah sesuai KTP tapi kok ga bisa daftar, katanya suruh sesuaikan dengan Nama dan NIK KTP"
Lia Ndra,4,2022-10-21 09:56:22,Aplikasinya saya kasih bintang 4..... Tolong di perbaiki untuk pengisian data tgl/bln/tahun..... Terlalu ribet dan butuh waktu lama untuk mencari tanggal lahir.
Kasi HotPop,1,2022-10-21 09:24:16,"dari vaksin kedua dari januari 2022 sampek sekarang ngecek sertifikat vaksin aja kok gagal muluk, alasan yang tidak ditemukanlah, padahal data dah sama persis kayak NIK No. telpon, Nama dah sama ,, jadi susah mau keluar pulau kalau gini caranya"
Desta Padang,1,2022-10-21 07:24:39,Update...update.. tetapi aplikasi tetap saja error. Manual sajalah yah🙏🙏
Gilang Ramadhan21,1,2022-10-21 06:15:29,Daftar gak bisa bisa padahal nama sama nik udah sesuai sama di ktp tapi tetep aja gak bisa masuk
Mohamat Tauphik,3,2022-10-21 04:25:51,"Seharusnya di tambahi mode offline, supaya tidak terlalu menyusahkan pengguna disaat kuota menipis dan butuh cek sertifikat vaksin. Terimakasih"
kita sehat,1,2022-10-21 01:02:03,"Aplikasi kya tau status GK update"" udah vaksin 2 kali suruh kirim email tp apa GK ada yg berubah mlh berubah status nya dari kuning ke merah asu emang ni aplikasi"
Nugroho Budi,1,2022-10-21 00:39:59,"Apa ini, buka sertifikat aja gabisa Koneksi kencang, tolong ya ini diperbaiki karena sangat mengganggu ketika mau dipakai"
Yusuf Kurniadi,1,2022-10-20 23:41:37,Aplikasi udah ngk bisa di pake aja masih naik kereta harus nunjukin vaksin. Payah ah indonesia sekarang. Perduli lindungi proyeknya udah berhenti bukan
Herry Klleden,5,2022-10-20 19:01:15,Gimana caranya bisa loading ke akun peduli lindungi ... HP aku hilang .. jdi tidak bisa login lagi karna kartu yang saya pake untuk daftar akun saya juga hilang ..Minta solusinya
