"","klasifikasi","score","text"
"210","Positif",1,"klau  gak ngasih bintang  aplikasi gak  banget udah  nomor telepon uda terverifikasi tp gak  login maksudnya   teknisi tolong  perbaiki aplikasi nya  ngaco gak  banget  login berkalikali  gak   kirim email  keluhan nya     gak bermutu aplikasi peduli lindungi  bikin kesal"
"211","Positif",5,"app cek kesehatan cepat terima kasih  perbaikan bahasa indonesia nya"
"212","Positif",1," crash  ya  hp  kmrn tdk    tdk  dibuka kl dibuka hilang  alias tdk  kebuka aplikasinya  ya"
"213","Positif",1,"  gak  ni daftar  nik udah   masukkan   yg sesuai  nik nya tolong  min perbaiki lg sistem nya gmn   liat status vaksin  kalo kayak gini"
"214","Negatif",-1,"      penerbangan    masuk user not found pas  daftar  tulisan muncul nik  terdaftar   login user not found    bingung pedahal  terbang"
"215","Positif",1,"  daftar  beralasan sesuaikan nama  nik sesuaikan   sesuaikan  pengeluaran   yg   input sesuai ktp tetep suruh sesuaikan dasar gak "
"216","Positif",1," profil   masukan nik  nama  sesuai ktp     notif sesuaikan nik  nama  ktp  yg ditulis      gak  scan barcode"
"217","Positif",1,"gajelas gabisa buka sertifikat    putih   butuh banget"
"218","Negatif",-1,"   bug   update contohnya pas   buka sertifikat vaksin  blank page warna putih doang tolong diperbaiki"
"219","Netral",0,"terimakasih  dibantu  operatornya  membantu        "
"220","Netral",0,"jelek kali apk nya ilang gak  lihat sertificat vaksin eror   sikali  berkalikali  berharihari gak  kebuka sertifikatnya  berdasarkan pengalaman   alami sekian  terima kasih"
"221","Positif",1," aplikasinya         nik nama  sesuai  yg  ktp        tertulis sesuaikan nama  nik  tolong  min benerin ni aplikasi       negeri cuman gara aplikasi       iya    pulang  negara  "
"222","Negatif",-2,"  kena do vaksin    vaksin     input data giliran vaksin  ga   input datanya solusinya    lapor  email  wa  telfon blm  tindakan     perjalanan"
"223","Netral",0," daftar aj susah dah nyoba berkali tetep gak bs nama nik udh sesuai ktp tetep aj gak bs bgmn ni"
"224","Netral",0," vaksin  kartunnya         vaksin  "
"225","Netral",0,"  berfungis aplikasinya  vaksin   terdaftar sertivikat  apk  disuruh klaim  apk   ngak "
"226","Positif",1,"  log in trs dminta kelengkapan data  pas masukkan nama  nik  salah alasannya nama nik  sesuai ktp    sesuai bagaimanaaaaaaaa kalaauuuuu beginiiiiiii "
"227","Negatif",-1,"apk nya knp  bug   siswa udh  vaksinasi x   blm  sertifikat nya pas  klaim  muncul  layar putih doang"
"228","Netral",0,"blank putih   status vaksinasi setifikat  ehac klo  beralih  web  fungsinya aplikasi    tolong ya secepatnya diperbaiki kemaren   menghubungi yg terkait  wa tpi solusinya cuman disuruh cek  webnya "
"229","Netral",0,"sya suka dgn apk   gmana  sya mengganti no tlp  sya  login gak  karna hp yg sya pake dlu  daftar hilang"
"230","Netral",0,"aplikasinya gak  lihat sertifikat vaksin tolong  diperbaiki "
"231","Positif",3,"  sih gk  log in  aneh banget udh tlp cs nya  bantu   bantu  ttep aja gk bsa suruh tunggu x jam  aneh banget  udh dpt undangan booster hrus pake bukti surat undangan  apk pedulilindungi tolong donk  perbaiki apk nya aneh"
"232","Negatif",-3," si ga support hp jadul   mempersulit    force stop update clear chache ga   iya  ganti hp  aplikasinya  hpnya yg salah  diupdate  versi terbaru"
"233","Negatif",-2,"aplikasi sampah penilaian   backend   async   blank  hi load  frontend ux nya payah entry nik tersembunyi dibelakang login  hp  mesti cari page  entry nik  sertifikat  bikin orang stress dipintu masuk mall"
"234","Netral",0,"  registrasi  menyesuaikan nama  nik   sesuai    solusi nya "
"235","Negatif",-1," kali   chek in  aplikasi  susah  sdh diperbarui mohon  aikanya trimakasih"
"236","Negatif",-4,"salah  dimana ya udah bener nik  nama nya  tetep salah  bener  app   udah  coba   beda nik orang   faksin  tetep  hasilnya"
"237","Positif",3,"aplikasi  mendukung   daftar pake nama  nik yg sesuai  yg     notif suruh sesuain   tgl lahir bikin tgn pegel scrol tgl   mohon perbaikanya "
"238","Negatif",-1,"aplikasi bagus    gak  edit data pribadi  ya min   yg   mohon petunjuk min"
"239","Netral",0," update  sertifikat  muncul  layar putih"
"240","Negatif",-1,"aplikasi gadak otak  liat sertifikat aja gabisa gmna   daftar   kalo liat sertifikat nya gabisa"
"241","Negatif",-1,"sistem nya spt nya   berfungsi dg  utk penyesuaian data  memakan  yg   sdh   vaksin tp blm terinput d sistem kendala nya dmn tdk  penjelasan dr  cs pedulilindungi  tim terkait sdkit kecewa dg sistem nya hrsnya sistem dbuat  mempermudah tp tnyta  utk aplikasi "
"242","Negatif",-3,"bintang  akun aktiv   nomor yg   hangus  hp mati total merubah data dgn nomor hp yg   hubungi cs berkali via email via whatsapp   clear blm  log in chat  selesai  admin  mengakhirinya suruh nunggu mulu ga   kacau "
"243","Netral",0," gimana   gak  lihat sertifikat vaksin  jadwal vaksin aja gak   gambar putih    check  link   eror"
"244","Negatif",-1,"  login giliran coba daftar bilangnya nik  terdaftar hadehhh gitu aj  jd gmna sertifikat vaksin ketiga gua "
"245","Positif",1,"  sempurna tolong  perbaiki  riwayat  user tsb   yg   riwayat sertifikat vaksin sj"
"246","Negatif",-1,"aplikasi   jaringan bagus  lemot kadang  muncul  tulisan doang"
"247","Negatif",-2,"aplikasi sampah bener bener mempersulit orang ajaa  lihat sertifikat aja ngak   "
"248","Positif",2,"gak  masuk aplikasi  jaringan  bagus"
"249","Negatif",-2,"  it kemana sih bikin apk ga bener login daftar disuruh isi kolomudah berulang kali  check bener  aja gabisa daftardosa lu bikin orang marah"
"250","Positif",1,"aplikasi  bagus  isi profil   catatan sesuai  nama dgn ktp pdhal sdhaplikasi  "
"251","Netral",0,"berkalikali kali masukin nmr nik ktp  nmr hp tp gak   masuk  pusing ihhhh"
"252","Netral",0,"pusing berkalikali mencoba bikin akun    gagal   bilang nik  sesuai    nomor nik nya trus dicoba lg  bilangnya   kirim x notifikasi otp nya  gak   notifikasi otp yg masuk  no hp jd  gimana"
"253","Netral",0,"aplikasi  eror  gimana   ga  daftar   masukin nama  nik sesuai  kartu vaksin   muncul tulisan mohon isi nama  nik sesuai ktp   coba berulang kali  ngak  solusi  min   banget   umroh"
"254","Positif",2,"  aplikasi   daftar nama  nik  sesuai ktp      aplikasi    diakui  warga negara"
"255","Netral",0," berguna  sudahh vaksin  sertifikat  muncul    puskesmas     cs aplikasi  complain    kemajuan menyusahkan "
"256","Netral",0,"aplikasi  kaya gini gk  gk  muncul sertifikat  blank putih doang gk   download bilang kuota"
"257","Netral",0," bagus    pas yg  daftar akun ga  "
"258","Positif",1," daftar  gak  gimana sihpadahal nama udah sesuai  ktp"
"259","Negatif",-3," gimana ya adik   daftar akun peduli lindungi tpi   aja gabisa  tulisan sesuaikan nik  nama  udah bener  berkali kali dicoba tetep gabisa"
"260","Netral",0,"klaim sertifikat ko  input jenis vaksin  tanggalnya   org yg inget coba aneh validasinya "
"261","Negatif",-1,"   update penilaian   kecewa   melihatdownload sertivikat vaksin   layar putih  menu dibuka layar putih peduli lindungi   gak sih"
"262","Netral",0," daftar nik  nama udah  nggak  daftar    perbaiki  aplikasinya nama  lahir  gak   daftar ente kadangkadang ente"
"263","Negatif",-1,"  kendala tiket vaksin do    diperbaiki  buruk pelayanannya"
"264","Netral",0,"hdeh   nih apk nya  gk  loginpdhal nomoremail udh    tulisanya merahniat bikin apk gkklo gt klo  liat sertifikasi vaksin gk ush  pakai apkapk nya aj bug pemiliknya nya aj males memperbaikinya anehhh"
"265","Positif",4,"update  registrasi  jam    registrasinya data  sdh     login aplikasi dibilangnya user not found udah berkali  coba masuk ga  notifikasinya user not found repot banget deh  coba masukin data   daftar   ga   nama  nik tdk sesuai  gimana  bintang  kalo  normal   bintang "
"266","Netral",0,"aplikasi  sulit digunakanselalu   log in akun  alasannya server tdk ditemukanserver  ditemukan  didaftar ulang nik ktp tertera  layar sdh terdaftar gimana  solusi nya"
"267","Positif",1," vaksin  data  masuk   opsi  memasukkan data    langkahlangkah  sertifikat vaksin payah"
"268","Netral",0,"udah booster  g nongol sertifikatnya  update   giliran  update  hilang"
"269","Netral",0," daftarpadahal nik nama  sesuai ktp  gagal "
"270","Positif",1,"aplikasi peduli lindungi  sdh baikbagusnya    info  rumah sakit terdekat  dokter praktek yg terdekat  yg melayani bpjssehingga  pengguna aplikasi dpt  mudah  info        dikunjungijd tdk  dimana  berdomisili info  didapatterima kasihsukses "
"271","Negatif",-2,"ntah gmna maksdnya  login gak  keterangannya salah isi kolom   dicek berulang kali   tp  gagal masuk  mencoba  daftar nik  terdaftar giliran lngsung login tetep gak "
"272","Netral",0,"  vaksin kali sinovacsinovacaz  yg  gak kecatat  pedulilindungi gak tau  skrg  gak kecatat  mohon solusinya"
"273","Negatif",-1,"  ndaftar nya gimnaa sih  nik sma nama  sesuai tpi ko tulisan nya msh  sesuaikan nama  nik  udh  ulang  kali      teliti msh  aja kaya gitu gimana  nadaftar nyaaa "
"274","Netral",0,"tolong  aplikasinya  perbaiki    daftar vaksin ln dos    setujui dos   minggu   setujui    pulang  indonesia"
"275","Positif",4," takut  comorbit  riwayat penyakit jantung    rekomendasi dokter spesialis jantung  berani  nyaman  aman  menyenangkan  vaksin  booster  membahagiakan sehat walafiat   optimal    booster  "
"276","Netral",0,"tolong    liat sertifikat vaksin  nomor hpnya  tercantum  hilang   login mohon solusinya"
"277","Negatif",-3,"aplikasi  buka lambat lemot  ganti nomor hp    otp adoi"
"278","Positif",2,"halo admin pagi   check sertifikat vaksin pake hape siomay note   muncul layar putih  aplikasi  update terbaru  clear chache hapus aplikasi  install ulang mohon petunjuk terima kasih"
"279","Negatif",-1,"udah install aplikasi  niatnya  cek sertifikat vaksin nya diarahkan  log in    akun  daftar   kali daftar  aja ga  gimana   cek sertifikat vaksin nya "
"280","Positif",1,"maaf  nya ko aplikasinya gk   buka    cek sertifikat paksin nya  udah berulang kali coba   gak  "
"281","Negatif",-3,"aplikasi bobrok no hp hilang blm   tindakan karna gagal login code verifikasi  kirim k nomor    pengaduan  no wa  email menteri kesehatan ga  solusinya payah"
"282","Positif",1,"aplikasi   praktis  cek    robot butuh  yg bertele tele gitu juganuntukmelihat  ambil sertifikat vaksin anak   org pelosok indonesia yg gaptek  ambil sertifikat   bikin stress butuh aplikasi yg sederhana yg org kampung aja "
"283","Positif",1,"maaf   daftar nama  nik nya  ku tulis  dngan ktp  tetep gak  cek sertifikatnya"
"284","Negatif",-2," bug  samsung msaya  buka sertifikat vaksin ngga  udah coba ganti koneksi internet  aja reply   coba clear cache hapus datalog out hapus install aplikasi   "
"285","Positif",1,"update    fitur faskes terdekat   menyediakan vaksin pdahal  vaksin jd sulit"
"286","Positif",1,"    login  aplikasi peduli lindungi   nomor hp  email udah sesuai"
"287","Positif",2,"maaf  hapus cache data    login     login  pengguna  terdaftar       kerja  solusi"
"288","Netral",0,"aplikasi gak berguna  klaim sertifikat   muncul pengen banget uninstal  butuh hadeh ribet"
"289","Netral",0,"nomor hp      pakai   hangus  gak  login  kode verifikasi  kirim  sms        login gak  karna nomor   aktif   login min"
"290","Positif",2,"app  membantu kususnya  convid  informasi kesehatan terima kasih"
"291","Negatif",-1,"    log in  app inimo daftar ulang  ngg  gmna  ngcek sertifikat vaksinnya klo "
"292","Negatif",-1," buka  kali  force close     hapus data melulu  habis buka aplikasi  dev  solusi gak ya"
"293","Netral",0,"susah   download sertifikat vaksin wa  wa  terhubung  bot kemenkes     butuh  perbaikan"
"294","Negatif",-1,"semenjak ganti nomor     login  aplikasi      laporan  mengirim bukti dokumen yg "
"295","Netral",0,"gak  login wa customer service cek  bertahap  jawabannya tlp ext disuru wa  sebulan gak  login"
"296","Netral",0,"stuk   nggk  masuk loading  website nya   lemot   akses"
"297","Negatif",-1,"sertifikat vaksin booster    muncul  pedulilindungi ya padalah nik  nomer     sertifbooster  muncul  status vaksin booster   terdeteksi"
"298","Negatif",-2," gabisa log in   ganti hp  nomor   email   terdaftar    coba daftar  nik  nama   sesuai    persis  coba daftar    kali  kirim nomor verifikasi   kemanamana susah   kontak  keterangannya user not found  coba  log in pakai akun orang        jam sih"
"299","Negatif",-1,"  kecewa    update gambar  putih   lelet mohon   tingkatkan "
"300","Netral",0,"aplikasinya  eror  gimana   gak  daftar   masukin nama  nik sesuai  kartu vaksin   muncul tulisan mohon isi nama  nik sesuai ktp   coba berulang kali tetep ga  solusi  min   banget   check in"
"301","Positif",1," butuh banget aplikasi     update  gak   buka giliran  buka cuman putih aja gak   apanya"
"302","Negatif",-1," udah vaksin bosster   aplikasi gabisa muncul pas  cek sertifikat nya  full hitam pas  cek sertifikat nya tolong  sistemnya bagusin "
"303","Netral",0,"aplikasinya jelek banget kmren abis restart hp  data  aplikasi langsung ngak  udah vaksin x   aplikasi kosong gimana sih  aplikasi ngak  banget"
"304","Negatif",-1,"aduhbikin pusingpadahal no nik     muncul tulisan merah sesuaikan no nik  ktp  lanjutkan"
"305","Positif",4,"hp   ilang  data nya  dihp  ilang pas masuk  hp   not found masukan nomber    hp nya  kartunya ilang  solusinya tolong dibantu  butuh banget  absen kerja terima kasih"
"306","Negatif",-1,"uda    sya download    gk    buka ud uninstall berkali ttp gk bsa mohon dibantu donk diwajibkan tp susah kbuka tolong donk sekelas  kementerian thanks"
"307","Positif",2," gimana sih  daftar  nama  nik  sesuai ktp tolong    soslusinya   pakai cepat  surat vaksin  hilang pedulilindungi   daftar"
"308","Negatif",-3,"aplikasinya ga  d buka min pas  scan barcode  ga   uda  update gimana tuh"
"309","Netral",0,"mohon  petunjuk nya kode verifikasi nya   terkirim  whatsapp  sms   coba        aplikasinya  kode verifikasi nya   kirim"
"310","Negatif",-1,"aplikasinya  berjalan  merugikan disaat  chek sertifikat  "
"311","Netral",0,"  update  nggak  dibuka gimana  dipakai  scan"
"312","Positif",2," admin tlong  bnahi dlu aplikasinya sya  hbis vaksin datanya su  masukkn smua dgn bnar tpi ko tdk terbaca sertifikatnya  sbnarnya mslanya  mhon  benahi dlu biar pngguna mrasa nyaman"
"313","Netral",0,"no   terdaftar tp  tetep   loginuser not found"
"314","Positif",1,"     buka aplikasi stuck  loading screen   kartu provider  telkomsel jaringan bagus aplikasi  update gps nyala  coba reinstall jg  aja   minggu  mohon solusinya"
"315","Negatif",-1,"tolong  nih aplikasi diperbaiki sistemnya lemot banget kek orang pmo  claim sertifikat vaksin aja susah bgt  data  sesuai"
"316","Positif",2," fiturfitur     dibuka tampilan  muncul  halaman blank putih   hp   eror    restart  mode pesawat  pake wifi hasilnya     kecepatan jaringan  mb"
"317","Netral",0," gimana yaa min   cobaa  kali tp nama nik  sesuai  hapus  download  pakai hape yg  tp keterangannya      penulisan   nik d ktp  nama     min susah   buka sertifikatnya "
"318","Positif",2,"aplikasi yg  sdh bagus skg d update   tambahkan anggota kelurga g  nik  sesuai   download kartu vaksin jg g "
"319","Netral",0,"sertifikat vaksin   muncul   klik menu sertifikat vaksin  blank putih    parah aplikasi pemerintah    aplikasi pemerintah   maksimal terima kasih"
"320","Positif",2,"masuk  aplikasi nya  banget udah pake datawifi tetep aja  mohon   perbaharui"
"321","Netral",0," ngak  aplikasinya   perbaharui  buka layanrya  putih ja tolong  perbaiki aplikasinya"
"322","Negatif",-1,"   aplikasinya suka lemot dibuka  spek hp mumpuni sinyal bagus  bgt kebuka nya  scan doang  tolong perbaiki bug nya atuh"
"323","Netral",0,"tolong apl  tingkatkan    mudah  suka   login   apus apl   download   login "
"324","Negatif",-1,"aplikasi susah dibuka  tampil layar putih  hapus chache  instal ulang    jaringan bagus tolong diperbaiki"
"325","Negatif",-4,"aplikasi  berfungsi  ya klo   aplikasi     cek sertifikat vaksin aja gak muncul klo cek  vaksin  muncul  klo klik  muncul  klik sertifikat vaksin gak muncul  ya  klo  aplikasi  gak "
"326","Negatif",-1,"masuk  email ga  no tlpn ga bisapadahal uda  daftar n uda  sertifikat vaksin   aja notif nya  terdaftar"
"327","Netral",0,"sertifikat vaksin nya  hilanggak muncul   update tolong diperbaiki  "
"328","Negatif",-3,"    buruk tolong  perbaiki   buka aplikasi  trs ad tulisan kesalahan   ketahui coba lgi tolong  perbaiki    "
"329","Positif",1,"kecewa banget   login  nomor    aktif udah hubungin cs nya udah  ganti  nomor    tunggu xjam   login udah  tunggu  tetep aja gabisa kecewa banget"
"330","Positif",2,"aplikasinya ribet disuruh pasang aplikasi pedulilindung  berhasil  cek status ribet  diarahkan  sitenya pedulilindungcoid  gunanya aplikasi pedulilindung  meribetkan gak sesuai janji  komitmen "
"331","Netral",0,"aplikasi ecek gw klo  buka  error mending gk  d adakan aplikasi ky gini buang  gw aja klo  masuk  mall  lambat"
"332","Positif",2," bagus    lelet loading  bgt   bukak doang mohon diperbaiki   bagus "
"333","Positif",1,"   update  versi terbaru  pedulilindungi  muncul ehac"
"334","Netral",0,"tolong diperbaiki  memasukkan tanggal lahir    mengetik   mencari kayak gitu  "
"335","Negatif",-3,"  log in pake no hp ga  pake email  ga     daftar   vaksin aplikasi nya  kesini  buruk"
"336","Positif",1,"suka eror  aplikasi prah banget msa  cek sertifikat vaksin ngak   blank layar putih aja pengembang aplikasi tolong  perbaiki "
"337","Positif",2,"    daftar kluar notif merah nik  nama     sesuai ktp gimana   complain  wa kementrian    hasil bintang dlu "
"338","Netral",0,"iya   daftar  nik  nama gak sesuai bingung  masukin gimana biar sesuai berulang ulang  coba gitu gitu aja"
"339","Negatif",-3,"cek sertifikat blank doang cek via web   tanggal vaksin  lupa cek bot wa  g  sertifikatnya gangguan tp  ulangulang jg ga  "
"340","Negatif",-2," ya pas login   user not found  udah udah  akun nya  nya gimana ya biar  login "
"341","Positif",2,"sampah banget aplikasinya sumpah dah gilaaaa  masuk aja ga  banget ga   pas  masuk  membuka fitur     aplikasi gilaaaaaa putih mulu layarnyaa gokill  hadeh kerjanya ngapain sih"
"342","Negatif",-1," engak  aja  aplikasi  upgrade  pake daftar ulang pake nomor telpon tertulis nomor  terdaftar pake email tertulis email  terdaftar tp knpa gabisa  akses"
"343","Negatif",-1,"   login  muncul tulisan user not found  tolong dibantu    butuh sertifikatnya  keperluan"
"344","Negatif",-1,"status vaksinasi sertifikat vaksin  muncul  layar putih aplikasi sangattttt mengecewakan"
"345","Netral",0,"udah  uninstall   krna aplikasinya lambat trus gak  download kartu vaksinya  bru install   ehh udah  kerenn makasih   menerima kritikan  aplikasi   memperbaiki  kesalahan  aplikasinya semangat minn"
"346","Negatif",-1,"kasian sih sekelas aplikasi  kementrian  anggaran    kayak gini loading screen    kadang  loading screen    hp   bermasalah  coba dibeberapa hp saudarasaudara     update     mengecewakan pengguna"
"347","Positif",1,"aduh gimana sich  susah banget  daftar vaksin  aplikasi peduli lindungi    masuk daftar  aplikasi  mohon  permudah  yach"
"348","Positif",3,"   peduli lindungi   bagus  teratur    bepergian kemanapun  aman  nyaman"
"349","Negatif",-1,"hp  hilang nomer  email    pulihkan  akun       dibuka     menghalangi   beraktifitas karna   wajib scan barcode"
"350","Netral",0," daftar  disuruh sesuaikan nama  nikpadahal  diketik  benartrus gimana dongmohon bantuannya"
"351","Netral",0," mencoba daftar  pedulilindungi      ya dibilang sesuaikan  ktp  disesuaikan      tolong bantuannya"
"352","Netral",0," vaksin booster  febuari    sertifikat  muncul   pakai   tp    muncul"
"353","Negatif",-5,"aplikasi ga  sertifikat  ga  muncul    klaim sertifikat   kali salah langsung ga    suruh   besok ga "
"354","Negatif",-4,"aplikasi apalah   daftar nik nama udah  tetep gabisa dibilang isi sesuai ktp   udah  isi sesuai  ktp tetep gabisa     tanggal tolong diketik aja biar mudah ga ribet cari cari   tanggal lahir"
"355","Positif",4," udah coba  akun  x  ngk  keterangannya nama  nik ku tdk sesuai trus  konfir d   vaksin  nakesnya data  udah sesuai tpi   aplikasi  sesuai hadehhhh"
"356","Netral",0,"  update mulu aplikasi nya   dibuka udh gitu gak  buka offline"
"357","Positif",5,"aplikasi    nasional indonesia raya tp error  tdk  perbaikan gmn sihsdh  blm sih sdh jng maksa klo blm  jng dipake trscmn  ok  ajampun dah tdk  berubahasal bpk senang aj sampe skrg sertifikat vaksin  sdh x vaksin jg tdk muncul ok gak pa terimakasih"
"358","Positif",3," bagus  bagaimna   mengecek imunisasi anak qo koneksi terputus    kuota nya mohon penjelasan nya min terima kasih "
"359","Negatif",-1,"   isi profilselalu gagalselalu muncul sesuaikan nama  nik  ktppadahal  nulis nama  nik "
"360","Netral",0,"   login  gak  yaapa   wajib  nomor paspor jugatapi    memiliki nomor pasporgimana iniiii"
"361","Positif",2,"kasih bintang nol kalo    daftar gak  alasannya nomer ktp  nama gak  uda  cek berkali kali tetep aja gak   aplikasi sebenernya ngeganggu  gak "
"362","Negatif",-1,"tolong sertifikat vaksin       menampilkan tampilan putih  tolong ya diperbaiki  maintenance  sistemnya"
"363","Positif",1,"aplikasi  bergune pas   liat sertifikat vaksin tdk bise  buka  layar putih jak taik"
"364","Positif",1,"   udah    apk nyusahin orang ngetik tanggal lahir manual  nyecroll  sampe pegel tangan enak  lahirnya  an  an buang buang "
"365","Netral",0," daftarnya sulit  sistimnya yg eror  gimana see dibagian nama  nik  sesuai ktp   ga  daftar  suruh sesuaikan  nama  nik ktp"
"366","Positif",1,"aplikasinya  kasih bintang tolong  perbaiki  pengisian data tglblntahun  ribet  butuh    mencari tanggal lahir"
"367","Negatif",-3," vaksin   januari sampek  ngecek sertifikat vaksin aja  gagal muluk alasan   ditemukanlah  data dah  persis kayak nik no telpon nama dah   susah   pulau  gini "
"368","Netral",0,"updateupdate  aplikasi   error manual  yah"
"369","Positif",2,"daftar gak    nama  nik udah sesuai   ktp  tetep aja gak  masuk"
"370","Positif",1,"  tambahi mode offline    menyusahkan pengguna disaat kuota menipis  butuh cek sertifikat vaksin terimakasih"
"371","Negatif",-1,"aplikasi kya tau status gk update udah vaksin kali suruh kirim email tp  gk  yg berubah mlh berubah status nya  kuning  merah asu emang ni aplikasi"
"372","Negatif",-1,"  buka sertifikat aja gabisa koneksi kencang tolong ya  diperbaiki   mengganggu   dipakai"
"373","Negatif",-1,"aplikasi udah ngk   pake aja   kereta  nunjukin vaksin payah ah indonesia  perduli lindungi proyeknya udah berhenti "
"374","Netral",0,"gimana   loading  akun peduli lindungi hp  hilang jdi   login  karna kartu   pake  daftar akun   hilang  solusinya"
"375","Negatif",-2,"aplikasi    aplikasi milik negara ya cocok menggambarkan kondisi negara buka sertifikat sj gak  muncul  kayak kafan emang  divaksinasi nih aplikasi"
"376","Positif",1,"aduh gimana  susah masuk  aplikasi karna  masuk  pake nomer  sydah terdaftar sedangkang nomer   terdaftar    akif"
"377","Netral",0,"download sertifikat  bisatulisan unduh   lgsertifikat   buka jd "
"378","Negatif",-2," buruk    upgrade        upgrade apk     terkesan memaksa  upgrade"
"379","Negatif",-1,"  update  lemot  dibuka  tampilan  tolong  professional    aturan       aplikasi "
"380","Netral",0,"akun   gak  login min nomer hp email   keterangan nya user not found  daftar  keterangan nya nik   tolong min "
"381","Negatif",-3,"hp  kena virus suka  iklan  tibaabistu kalo main    abistu muncul iklannah  cari tu  yutub  ngatasin nya eh gak berhasil    liat iklannya masarin pedulilindungi ya langsunglah  donload eh  gak  iklan  makasih peduli lidungi"
"382","Positif",1,"   registrasi   datanya udah sesuai  yg   ktp registrasi  website pedulilindungi   gabisa "
"383","Netral",0,"aplikasi  update   pas dibuka susah banget  liat sertifikat aja gk     aplikasi  fungsinya   kalo gk  dipake  "
"384","Negatif",-2,"  vaksin bosster  knp ga  yahhh  konfirmasi  ko datanya  aplikasinya aja ga kebaca"
"385","Negatif",-1,"tolong  min  aplikasinya gak  liat  sertifikat vaksin    aplikasi  gak    yg diupdate  yg jarang digunain tolong min  udh berkali instal ulang aplikasi  ttp aja gak  biat liat  gak  tulisanya putih polos aja gmna nnti klo suruh nunjukin vaksinya  keperluan kerja"
"386","Negatif",-2," daftar  susah  notifikasi muncul  menyamakan nik  namasudah berkalikali gagal "
"387","Positif",2,"  swab ko gak masuk  apl peduli lindungiriwayat posyandu anakistri jg gak adasedangkan peduli lindungi  data mekespotong  ach bintangnya kalo bagus  download lagitak   "
"388","Negatif",-2," download sertifikat  ga   udh pencet unduh sertifikat  pas dicek digaleri ga "
"389","Netral",0,"bintang aja  ya  aplikasinya kadang error masak  udah divaksin  sertifikatnya     data pribadi udah sesuai ktp divaksin  agustus     sertifikatnya   tiket antrian vaksin      solusinya nggk thks"
"390","Netral",0,"menu tampilan utama  buruk tolong bedakan  username  nama pengguna fasilitas menu app  buruk not simple"
"391","Negatif",-3,"min  ganti nomor gimana ya min  nya nomor   hilang  login gak  tolong  min mempermudahkan   nomor telepon   ilang  ganti nomor    nik ktp "
"392","Netral",0,"   buka sertifikat   ya  putih    vaksin lengkap   solusi nya terima kasih"
"393","Netral",0,"  tolong kendala yg  merepotkan adlah  memasukkan ttl tangan  capek pas  setting ttl tolong  ditindak lanjuti  masyarakat  mudah dlm mengisi data ttlnya terimakasih"
"394","Negatif",-1,"tolong  bantu   vaksin   belom  sertifikat    susah  ngurus kerja  indonesia  belom bersetifikat booster paayahh"
"395","Netral",0,"buka aplikasi    youtube lancar giliran buka   loading  buka sertifikat aja gabisa "
"396","Netral",0,"emang   covid negara  sibuk perang gak  negara  bebaskan  beraktivitas  cegatan karna aplikasi  stop covid gak  stop jual aplikasi "
"397","Negatif",-2,"aplikasi error   mengklaim sertifikat tolong  perbaiki lgi  rakyat sdh susah    susah"
"398","Positif",1," bu mohon maaf  nya    nyaman kalo aplikasi    update  kalo  ga update apk   ga  buka apk     nyaman karna   mengupdate apk   kali   pakai mohon  pertimbangkan  kedepan nya terimakasih"
"399","Positif",1,"woiiiiisaya  mengajukan vaccine non indonesia   tp   approval     vaksik booster karna datanya  maksuk  vaksin    nya alhasil      persyaratannya   vaksin  indonesia  njrimet kebanyakan peraturan mbokya jgn  bikin lelet "
"400","Negatif",-1,"tolong diperbaiki aplikasiykok sertifikat vaksin ngak  munculloadingy lamasaat dibtuhkan   busuk bgini aplikasiypadahal udah update"
"401","Negatif",-2,"aplikasi negara  sampah suruh samain nik  nama   ktpudah disamain tetep gabisa daftar tolol "
"402","Positif",3,"aplikasi   membantu  memenuhi syarat  perjalanan  daerah  khusus   perjalanan  pesawatterima kasih"
"403","Netral",0,"  daftar aplikasi   pergantian email  nomor telp    konfirmasi via wa        daftar    menunggu    menunggunya"
"404","Positif",1," gimana yg bikin apps  pilihan tahunnya g   hrs klik tanda panah mulu sampe   kelahiran  ribet"
"405","Positif",1,"aplikasi nya     check in  berwarna merah   booster  info   email  whatsapp peduli lindungi  status   berwarna merah   menghambat aktivitas  gimana solusinya"
"406","Netral",0,"uiux nya    mudah   dibagian lihat sertifikat"
"407","Netral",0,"gimana  apknya  klaim masak   percobaan coba   besok terusss  udah seminggu gitu    x doang masukin data maunya gmn update udah  kagakbenerin  jgn update doang bisanya "
"408","Netral",0,"mohon diperbaikiupdte trz   dibutuhkan  eror   loadingnya"
"409","Positif",1,"knp  apk  susah  download sertifikat gak  membantu nya tolong  benahi  apk nya  kali gagal  salah nya dimana coba  udah sesuai arahan apk nya dah gak bagus terima kasih"
"410","Negatif",-1,"haloo minn   nih   udh login  aplikasi  trs udh vaksin tahap  tpi  kejadian hp hilang trs  login   nomer yg   gabisa ya   bantu min "
"411","Negatif",-2,"ribet  masuk klaim  option yg ga  privasi   nik mash susah masuk kalo plihan gambarnya keliru"
"412","Netral",0,"   membantu   usir tes interview gara    sertifikat vaksin  pedulilindungi  jaringan     buka sampe       buka  data yg  masukan sdh  mohon  bantu biar  temukan sertifikat vaksin nya"
"413","Positif",1,"aplikasi sampah mendaftar  sulit masuk   kali daftar    masuk  aplikasinya"
"414","Netral",0," update    cek lokasi  ketersediaan vaksin terdekat mohon diperbaiki"
